category,item_name,unit_price
ATK,RIBBON CA TRIDGE LQ-2180,187500.0
ATK,PITA CASIO,10000.0
ATK,STICKY NOTE,7000.0
ATK,LEM STIK,3000.0
ATK,FORM TAB BUKU PESIRAH RADEN,40000.0
ATK,KERTAS A4 COPIER,44000.0
ATK,KERTAS F4 COPIER,49500.0
ATK,MAP 5001 BIOLA,87500.0
ATK,KERTAS SINAR DUNIA F4 70/75 GR,53000.0
ATK,ORDNER BANTEX A5 GLOSSY 1441,25750.0
ATK,KERTAS RECEIPT PRINTER ATM NCR 80*200MM,180000.0
ATK,KERTAS JURNAL PRINTER ATM NCR 80*80 MM,30000.0
ATK,KERTAS RECEIPT PRINTER ATM WINCORE,90000.0
ATK,KERTAS BUFFALO GAND HIJAU,35000.0
ATK,KERTAS BUFFALO GAND PUTIH,35000.0
ATK,RIBBON CATRIDGE PLQ -20,481500.0
ATK,SPIDOL ARTLINE 107 PERMANENT,7000.0
ATK,SPIDOL ARTLINE WHITE BOARD HITAM,8000.0
ATK,BINDER CLIP 155,7500.0
ATK,BINDER CLIP 260,18000.0
ATK,STAPLER DELI 0325,27500.0
ATK,PENGGARIS BESI 5130,30000.0
ATK,GUNTING DELI 6009,12500.0
ATK,ISI STAPLES NO. 10 DELI,2000.0
ATK,KERTAS KADO,9000.0
